rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
6.4 35,1268,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1943280661.jpg,True,1940508,动作 奇幻 冒险,美国,图书馆员：所罗门王的宝藏,https://movie.douban.com/subject/1940508/,2006-12-03,13,2128,6.4,艾瑞克·阿瓦利 丽莎·布瑞纳 诺亚·怀尔 加布里埃尔·安瓦尔 鲍勃·纽哈特 Anton Voster 哈基姆·凯-卡西姆 奥林匹娅·杜卡基斯 乔纳森·弗雷克斯 罗伯特·福克沃斯 扎恩·迈克拉农 简·库丁 Mehboob Bawa,False
6.4 35,1269,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1113375502.jpg,False,1307413,动作 冒险 科幻,日本,回归者,https://movie.douban.com/subject/1307413/,2002-08-31,16,2058,6.4,金城武 铃木杏 树木希林 岸谷五朗 Kenji Motomiya 饭田基祐 Misako Nagashima Adeyto 石田法嗣 村田充 忍成修吾 高桥昌也 本乡奏多 冈元夕纪子 迪恩·哈灵顿 川合千春,False
6.4 35,1270,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1376314253.jpg,True,1295827,动作 科幻 冒险,英国 美国,纽约大逃亡,https://movie.douban.com/subject/1295827/,1981-05-23,8,1967,6.4,库尔特·拉塞尔 李·范·克里夫 欧内斯特·博格宁 唐纳德·普利森斯 艾萨克·海耶斯 哈利·戴恩·斯坦通 杰米·李·柯蒂斯 阿伦·西尔曼,False
6.4 35,1271,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2255868647.jpg,True,1293137,动作 冒险 科幻 惊悚,美国,洛杉矶大逃亡,https://movie.douban.com/subject/1293137/,1996-10-10,5,1853,6.4,库尔特·拉塞尔 史蒂夫·布西密 彼得·方达 克里夫·罗伯逊 帕姆·格里尔,False
6.4 35,1272,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2529291650.jpg,True,30145655,动画 冒险,美国,乐高DC超级英雄：亚特兰蒂斯之怒,https://movie.douban.com/subject/30145655/,2018-07-31,12,1817,6.4,迪·布拉雷·贝克尔 特罗伊·贝克 格蕾·德丽斯勒 诺兰·诺斯 卡里·佩顿 艾莉森·斯通勒 特雷弗·德瓦 斯科特·门维尔 乔纳森·亚当斯 弗雷德·塔特西奥 艾瑞克·鲍扎 苏珊·爱森伯格,False
6.4 35,1273,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2349497912.jpg,True,1305638,动作 冒险 剧情,中国香港,追日,https://movie.douban.com/subject/1305638/,1991-06-14,6,1776,6.4,张敏 张学友 午马 王祖贤 郑天庸 刘洵,False
6.4 35,1274,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2288653700.jpg,True,1296062,动作 冒险 喜剧 爱情 战争,中国香港,财叔之横扫千军,https://movie.douban.com/subject/1296062/,1991-03-28,6,1708,6.4,石天 梁家辉 张学友 袁洁莹 高丽虹 程小东,False
6.4 35,1275,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2156367078.jpg,True,20502341,喜剧 犯罪 冒险 歌舞,美国,布偶大电影之最高通缉,https://movie.douban.com/subject/20502341/,2014-03-21,31,1379,6.4,瑞奇·热维斯 泰·布利尔 蒂娜·菲 史蒂夫·惠特迈尔 埃里克·雅各布森 大卫·戈尔兹 马特·沃格尔 托尼·本内特 休·博纳维尔 汤姆·希德勒斯顿 克里斯托弗·瓦尔兹 罗斯·林奇 丹尼·特雷霍 雷·利奥塔 弗兰克·兰格拉 蒂尔·施威格 德克斯特·弗莱彻 亚瑟·雷蒙德 彼得·塞拉菲诺威茨 吹牛老爹 席琳·狄翁 朱利安·西格尔 黛比·瑞恩 詹姆斯·麦卡沃伊 科洛·莫瑞兹 斯坦利·图齐 汤姆·霍兰德 埃里克·海登 费思·伊丽莎白 朱莉·沃洛诺 Lady Gaga,False
6.4 35,1276,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1831981432.jpg,True,20416699,动画 家庭 儿童 冒险,韩国 中国大陆,波鲁鲁冰雪大冒险,https://movie.douban.com/subject/20416699/,2013-01-25,9,1175,6.4,李善 李美子 洪小英 郑美淑 金桓镇 함수정 杰瑞·特雷纳 杰西·普鲁特 张琦,False
6.4 35,1277,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p644642703.jpg,False,3736675,动作 冒险 喜剧 爱情,韩国,杀掉我,https://movie.douban.com/subject/3736675/,2009-11-05,8,1065,6.4,姜惠贞 孙镇浩 朴赫民 吴成秀 柳圣贤 郑基燮 吴秀贤  申贤俊,False
6.4 35,1278,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2178319524.jpg,False,1292991,动作 奇幻 冒险,美国,毁灭者科南,https://movie.douban.com/subject/1292991/,1984-06-29,11,970,6.4,阿诺·施瓦辛格 葛蕾丝·琼斯 威尔特·张伯伦 岩松信 崔西·沃特 莎拉·道格拉斯 奥利薇亚·阿波 帕特·罗奇 杰夫·科里 史文-欧尔·托尔森 费迪·梅恩,False
6.4 35,1279,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2311586073.jpg,True,1869834,动作 冒险 剧情,中国香港,巡城马,https://movie.douban.com/subject/1869834/,1982-06-04,6,893,6.4,周润发 钟楚红 梁家仁 袁日初 樊梅生 萧德虎,False
6.4 35,1280,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1510671336.jpg,False,1308996,冒险 喜剧 剧情 家庭 爱情,美国 加拿大,小鬼上路,https://movie.douban.com/subject/1308996/,2005-01-21,20,888,6.4,艾斯·库珀 尼娅·朗 杰·摩尔 凯西·迪布瓦 Robert Manitopyes 杰里·哈德因 丹尼尔·库德摩尔 艾里莎·艾伦 阿曼达·特罗亚 雷·加莱蒂 C.恩斯特·哈斯 弗兰克·C·特纳 菲利普·鲍顿 艾德里安·霍姆斯 Derek Lowe 韦弗·里库克 迈克·康纳·盖尼 崔西·摩根 尼切尔·尼克斯 亨利·西蒙斯,False
6.4 35,1281,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578215772.jpg,True,26765844,喜剧 动画 冒险,德国,尼斯大冒险,https://movie.douban.com/subject/26765844/,2019-12-28,9,848,6.4,凯特·温丝莱特 威廉·达福 罗伯·鲍森 乔什·基顿 朱莉·内桑森 弗莱德里奇·穆克 大卫·肖内西 阿里夫·S·金成 Dominik Kuhn,False
