rating,rank,cover_url,is_playable,id,types,regions,title,url,release_date,actor_count,vote_count,score,actors,is_watched
7.3 40,342,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2241639305.jpg,False,4841438,剧情 同性,英国,乔治男孩,https://movie.douban.com/subject/4841438/,2010-05-16,12,492,7.3,道格拉斯·布斯 马修·豪勒 弗朗西斯·麦基 弗莱迪·福克斯 Hannah Harford 马克·沃伦 理查德·麦登 约翰·德雷科特 查理·安森 马克·加蒂斯 朱里安·杰拉德 基兰·巴克里奇,False
7.3 40,343,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508963000.jpg,False,5150819,剧情 同性,荷兰 比利时,珍惜的时光,https://movie.douban.com/subject/5150819/,2011-04-14,6,468,7.3,Paul de Leeuw 卡琳娜·丝穆德 Lineke Rijxman Teun Luijkx Alwin Pulinckx Christopher Parren,False
7.3 40,344,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2261987147.jpg,False,26589263,科幻 同性,英国,柜世界,https://movie.douban.com/subject/26589263/,2015,3,384,7.3,茱莉‧赫斯姆德哈尔格 汤米·奈特 Jason Done,False
7.3 40,345,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2515142478.jpg,False,30156771,剧情 同性,澳大利亚,暴动彩虹,https://movie.douban.com/subject/30156771/,2018-02-25,9,318,7.3,达蒙·海瑞曼 凯特·波克斯 泽维尔·塞缪尔 杰西卡·德·古维 乔什·邝·塔特 本尼迪克·哈迪 汉娜·曼根·劳伦斯 肖恩·马丁代尔 亚当·索利斯,False
7.2 40,346,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1704936149.jpg,False,1914831,剧情 爱情 同性,中国台湾,盛夏光年,https://movie.douban.com/subject/1914831/,2006-10-13,3,111100,7.2,张睿家 张孝全 杨淇,False
7.2 35,347,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1351876164.jpg,True,4709671,剧情 同性 传记 历史 犯罪,美国,胡佛,https://movie.douban.com/subject/4709671/,2011-11-11,54,39968,7.2,莱昂纳多·迪卡普里奥 娜奥米·沃茨 朱迪·丹奇 艾米·汉莫 乔什·卢卡斯 德蒙特·莫罗尼 杰弗里·多诺万 丹尼斯·欧哈拉 斯蒂芬·鲁特 扎克·格雷尼尔 达蒙·海瑞曼 莉·汤普森 肯·霍华德 约什·汉密尔顿 杰西卡·赫特 吉奥夫·皮尔森 迈克尔·奥尼尔 古纳尔·怀特 戴维·A·库珀 爱德·维斯特维克 杰克·多内尔 杰克·阿克塞尔罗德 乔什·斯坦伯 迈克尔·拉代 斯科特·卡莱尔 赛迪·卡尔瓦诺 麦尔斯·费舍 李·可可 艾米丽·阿琳·林德 杰米·拉巴伯 阿曼达·舒尔 阿莱·卡特斯 克里斯托弗·谢尔 拉金·坎贝尔 斯蒂夫·蒙罗埃 斯科特·C·罗伊 Ernest Harden Jr. 汤姆·阿齐迪肯 雷恩·麦帕林 比利·史密斯 大卫·科列侬 Eric Frentzel Thomas Langston Ernest Heinz 阿隆·拉扎尔 奥斯汀·巴西斯 凯勒·伊斯特伍德 约旦·布里奇斯 迈克尔·盖拉迪斯 杰拉德·唐尼 亚当·德赖弗 凯特琳·德弗 吉欧夫·斯图兹 Manu Intiraymi,False
7.2 40,348,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2553820571.jpg,True,6895950,剧情 传记 同性 音乐,英国 美国 加拿大,火箭人,https://movie.douban.com/subject/6895950/,2019-05-16,21,15557,7.2,塔伦·埃哲顿 杰米·贝尔 理查德·麦登 布莱丝·达拉斯·霍华德 斯蒂文·麦金托什 查理·罗 哈丽特·瓦尔特 维克托里娅·菲斯 杰玛·琼斯 汤姆·班尼特 朱利安·费罗 莱顿·威廉姆斯 基特·康纳 卡米尔·雷米泽斯基 贝恩·科拉科 齐亚德·阿巴扎 伊斯雷尔·鲁兹 拉斯科·阿特金斯 格雷厄姆·弗莱彻-库克 史蒂威·戴维斯 妮科尔·亨布拉,False
7.2 40,349,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2195421480.jpg,False,20440456,剧情 同性,英国,轻轻摇晃,https://movie.douban.com/subject/20440456/,2014-01-16,9,12092,7.2,本·卫肖 郑佩佩 莫文·克里斯蒂 彼得·鲍勒斯 安德鲁·梁 肖恩·索尔特 娜奥米·杨 彼得·E··霍普金斯 约翰·马修斯,False
7.2 35,350,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2227562379.jpg,False,26306656,剧情 同性 家庭,中国台湾,醉·生梦死,https://movie.douban.com/subject/26306656/,2015-08-07,6,9382,7.2,李鸿其 黄尚禾 吕雪凤 郑人硕 张寗 王静婷,False
7.2 40,351,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p779637698.jpg,False,1762834,剧情 奇幻 同性,日本,46亿年之恋,https://movie.douban.com/subject/1762834/,2006-08-26,9,7607,7.2,松田龙平 安藤政信 洼冢俊介 涩川清彦 远藤宪一 石桥莲司 石桥凌 朴秀熙 光石研,False
